MAG	Source	Value
GCA_002067035.1_genomic	GTDB	1
GCA_002495055.1_genomic	GTDB	1
GCA_002495065.1_genomic	GTDB	1
GCA_002495465.1_ASM249546v1_genomic	GTDB	1
GCA_002497485.1_genomic	GTDB	1
GCA_002502245.1_genomic	GTDB	1
GCA_002502735.1_genomic	GTDB	1
GCA_002508495.1_genomic	GTDB	1
GCA_002835825.1_genomic	GTDB	1
GCA_002839605.1_genomic	GTDB	1
GCA_002839675.1_genomic	GTDB	1
GCA_003136075.1_genomic	GTDB	1
GCA_003154335.1_genomic	GTDB	1
GCA_003157895.1_genomic	GTDB	1
GCA_003170075.1_genomic	GTDB	1
GCA_012798365.1_genomic	GTDB	1
GCA_013331015.1_genomic	GTDB	1
GCA_903832665.1_genomic	GTDB	1
GCF_000017625.1_genomic	GTDB	1
GCF_000327485.1_genomic	GTDB	1
2162886008_15	JGI	2
3300001784_29	JGI	2
3300004775_9	JGI	2
3300005325_23	JGI	2
3300005326_54	JGI	2
3300009053_19	JGI	2
3300009081_10	JGI	2
3300009153_19	JGI	2
3300010293_30	JGI	2
3300013126_82	JGI	2
3300013126_97	JGI	2
3300014199_19	JGI	2
3300014205_53	JGI	2
3300016725_15	JGI	2
3300017643_20	JGI	2
3300017947_8	JGI	2
3300017959_16	JGI	2
3300017975_11	JGI	2
3300018012_6	JGI	2
3300018019_17	JGI	2
3300021071_20	JGI	2
3300025858_29	JGI	2
3300025963_1	JGI	2
3300025975_1	JGI	2
3300026026_4	JGI	2
3300027825_24	JGI	2
3300027972_11	JGI	2
3300027979_35	JGI	2
3300028669_5	JGI	2
3300032805_20	JGI	2
3300032892_32	JGI	2
3300034281_6	JGI	2
3300036760_62	JGI	2
3300037043_48	JGI	2
3300037264_32	JGI	2
3300038415_26	JGI	2
3300038427_21	JGI	2
3300038429_25	JGI	2
3300038469_39	JGI	2
3300038619_18	JGI	2
3300040758_18	JGI	2
3300043294_37	JGI	2
3300044712_168	JGI	2
3300044712_309	JGI	2
3300044798_59	JGI	2
3300045007_113	JGI	2
3300045146_47	JGI	2
3300046504_2	JGI	2
3300046652_21	JGI	2
3300046710_16	JGI	2
3300047187_12	JGI	2
3300047644_14	JGI	2
3300048599_34	JGI	2
3300049718_33	JGI	2
3300050014_5	JGI	2
3300052918_29	JGI	2
OWC_0039	OWC	3
OWC_0040	OWC	3
OWC_0041	OWC	3
OWC_0042	OWC	3
OWC_0043	OWC	3
OWC_0044	OWC	3
OWC_0045	OWC	3
OWC_0046	OWC	3
OWC_0047	OWC	3
OWC_0048	OWC	3
OWC_0049	OWC	3
OWC_0050	OWC	3
OWC_0051	OWC	3
OWC_0052	OWC	3
OWC_0053	OWC	3
OWC_0054	OWC	3
OWC_0055	OWC	3
OWC_0056	OWC	3
OWC_0057	OWC	3
OWC_0058	OWC	3
OWC_0059	OWC	3
OWC_0060	OWC	3
OWC_0061	OWC	3
PPR_1022_P7D_M_E_concat_coassembly_mesocosms_megahit_bin.197	PPR	4
PPR_1022_P8D_M_E_Formate2_Day30_megahit_bin.13	PPR	4
3300036886_19	STM	5
3300037062_11	STM	5
3300037089_14	STM	5
3300037104_21	STM	5
3300037365_14	STM	5
PMBL01	STM	5
PMXY01	STM	5
