sample_id	domain	ecosystem	data_source	accession	has_flux	flux_value	flux_unit	latitude	longitude	depth_cm	salinity_ppt	temperature_c	collection_date	notes
RUMEN_MAG_001	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_002	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_003	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_004	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_005	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_006	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_007	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_008	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_009	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_010	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_011	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_012	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_013	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_014	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_015	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_016	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_017	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_018	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
RUMEN_MAG_019	rumen	rumen	ENA	TBD	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	PRJEB81441; methanogen MAG; replace accession
