table	path	rows	columns	bytes
dim_gene	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/cohort_warehouse/parquet/dim_gene/cohort_run_id=fgx_662_apollo3_20260612/part-00000.parquet	47187	13	530710
dim_mag	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/cohort_warehouse/parquet/dim_mag/cohort_run_id=fgx_662_apollo3_20260612/part-00000.parquet	24	29	20745
fact_bakta_features	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/cohort_warehouse/parquet/fact_bakta_features/cohort_run_id=fgx_662_apollo3_20260612/part-00000.parquet	48267	15	647296
fact_cazy_hits	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/cohort_warehouse/parquet/fact_cazy_hits/cohort_run_id=fgx_662_apollo3_20260612/part-00000.parquet	48	10	7933
fact_dbcan_hits	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/cohort_warehouse/parquet/fact_dbcan_hits/cohort_run_id=fgx_662_apollo3_20260612/part-00000.parquet	909	12	17567
fact_input_stats	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/cohort_warehouse/parquet/fact_input_stats/cohort_run_id=fgx_662_apollo3_20260612/part-00000.parquet	96	8	6663
fact_kofam_hits	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/cohort_warehouse/parquet/fact_kofam_hits/cohort_run_id=fgx_662_apollo3_20260612/part-00000.parquet	945792	14	8463971
fact_mcycdb_hits	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/cohort_warehouse/parquet/fact_mcycdb_hits/cohort_run_id=fgx_662_apollo3_20260612/part-00000.parquet	55443	21	1169891
fact_merops_hits	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/cohort_warehouse/parquet/fact_merops_hits/cohort_run_id=fgx_662_apollo3_20260612/part-00000.parquet	410	10	12092
fact_metabolic_function_presence	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/cohort_warehouse/parquet/fact_metabolic_function_presence/cohort_run_id=fgx_662_apollo3_20260612/part-00000.parquet	2496	11	11503
fact_metabolic_hmm_hits	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/cohort_warehouse/parquet/fact_metabolic_hmm_hits/cohort_run_id=fgx_662_apollo3_20260612/part-00000.parquet	7560	20	52257
fact_metabolic_module_presence	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/cohort_warehouse/parquet/fact_metabolic_module_presence/cohort_run_id=fgx_662_apollo3_20260612/part-00000.parquet	11280	13	24915
fact_metabolic_module_step_presence	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/cohort_warehouse/parquet/fact_metabolic_module_step_presence/cohort_run_id=fgx_662_apollo3_20260612/part-00000.parquet	48024	12	155484
fact_qc_checkm2	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/cohort_warehouse/parquet/fact_qc_checkm2/cohort_run_id=fgx_662_apollo3_20260612/part-00000.parquet	24	20	15281
fact_qc_gunc	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/cohort_warehouse/parquet/fact_qc_gunc/cohort_run_id=fgx_662_apollo3_20260612/part-00000.parquet	24	19	14450
fact_run_status	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/cohort_warehouse/parquet/fact_run_status/cohort_run_id=fgx_662_apollo3_20260612/part-00000.parquet	49	12	11020
fact_scycdb_hits	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/cohort_warehouse/parquet/fact_scycdb_hits/cohort_run_id=fgx_662_apollo3_20260612/part-00000.parquet	54328	21	1170976
fact_taxonomy_gtdbtk	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/cohort_warehouse/parquet/fact_taxonomy_gtdbtk/cohort_run_id=fgx_662_apollo3_20260612/part-00000.parquet	24	14	10193
fact_tool_timing	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/cohort_warehouse/parquet/fact_tool_timing/cohort_run_id=fgx_662_apollo3_20260612/part-00000.parquet	360	13	15300
feature_annotation_coverage	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/cohort_warehouse/parquet/feature_annotation_coverage/cohort_run_id=fgx_662_apollo3_20260612/part-00000.parquet	264	11	10262
feature_methane_mechanism	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/cohort_warehouse/parquet/feature_methane_mechanism/cohort_run_id=fgx_662_apollo3_20260612/part-00000.parquet	24	9	7613
feature_mrv_mag_level	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/cohort_warehouse/parquet/feature_mrv_mag_level/cohort_run_id=fgx_662_apollo3_20260612/part-00000.parquet	24	15	12071
feature_sulfur_competition	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/cohort_warehouse/parquet/feature_sulfur_competition/cohort_run_id=fgx_662_apollo3_20260612/part-00000.parquet	24	10	8432
run_summary_metrics	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/cohort_warehouse/parquet/run_summary_metrics/cohort_run_id=fgx_662_apollo3_20260612/part-00000.parquet	528	8	9362
