proteome_id	sample	source	ecosystem	domain	mag_id	mag_fasta	mag_fasta_basename	proteome_faa	proteome_faa_basename	source_analysis_accession	analysis_alias	source_filename	match_key	match_status	n_proteins_used	embedded_final_662	functional_run_include	notes	cohort_run_id	latest_run_id	latest_run_status	latest_run_dir	functional_predicted_proteins	scope_ratio	input_total_bp	input_contigs	input_n50_bp	input_fasta_kind	input_fasta_compressed_bytes	input_fasta_uncompressed_bytes	analysis_unit_type	mbag_mag_level_include	assembly_context_include	claim_scope	comparability_status	comparability_reason	recommended_action
rumen__10676_0001_idba	rumen__10676_0001_idba	rumen	rumen	Bacteria	10676_0001_idba	data/blue_catalyst_poc/rumen/raw/10676_0001_idba.fa.gz	10676_0001_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0001_idba.faa	rumen__10676_0001_idba.faa	ERZ1024255	webin-genome-10676_0001_idba_1kb	10676_0001_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612	fgx_108_rumen__10676_0001_idba_20260613_055411	complete	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/per_mag/rumen__10676_0001_idba/fgx_108_rumen__10676_0001_idba_20260613_055411	16226	2.70433	18756751	119	164078	compressed_gzip	5798466	19070976	assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0002_idba	rumen__10676_0002_idba	rumen	rumen	Bacteria	10676_0002_idba	data/blue_catalyst_poc/rumen/raw/10676_0002_idba.fa.gz	10676_0002_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0002_idba.faa	rumen__10676_0002_idba.faa	ERZ1024256	webin-genome-10676_0002_idba_1kb	10676_0002_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612	fgx_109_rumen__10676_0002_idba_20260613_055647	complete	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/per_mag/rumen__10676_0002_idba/fgx_109_rumen__10676_0002_idba_20260613_055647	30227	5.03783	35063739	245	145217	compressed_gzip	10830090	35651584	assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0006_idba	rumen__10676_0006_idba	rumen	rumen	Bacteria	10676_0006_idba	data/blue_catalyst_poc/rumen/raw/10676_0006_idba.fa.gz	10676_0006_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0006_idba.faa	rumen__10676_0006_idba.faa	ERZ1024258	webin-genome-10676_0006_idba_1kb	10676_0006_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612	fgx_110_rumen__10676_0006_idba_20260613_055738	complete	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/per_mag/rumen__10676_0006_idba/fgx_110_rumen__10676_0006_idba_20260613_055738	85479	14.2465	98247537	1662	65245	compressed_gzip	30438899	99909632	assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0004_idba	rumen__10676_0004_idba	rumen	rumen	Bacteria	10676_0004_idba	data/blue_catalyst_poc/rumen/raw/10676_0004_idba.fa.gz	10676_0004_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0004_idba.faa	rumen__10676_0004_idba.faa	ERZ1024259	webin-genome-10676_0004_idba_1kb	10676_0004_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612	fgx_111_rumen__10676_0004_idba_20260613_063015	complete	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/per_mag/rumen__10676_0004_idba/fgx_111_rumen__10676_0004_idba_20260613_063015	56946	9.491	66868053	772	90842	compressed_gzip	20694111	67993600	assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0015_idba	rumen__10676_0015_idba	rumen	rumen	Bacteria	10676_0015_idba	data/blue_catalyst_poc/rumen/raw/10676_0015_idba.fa.gz	10676_0015_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0015_idba.faa	rumen__10676_0015_idba.faa	ERZ1024260	webin-genome-10676_0015_idba_1kb	10676_0015_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612	fgx_112_rumen__10676_0015_idba_20260613_072138	complete	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/per_mag/rumen__10676_0015_idba/fgx_112_rumen__10676_0015_idba_20260613_072138	49623	8.2705	56782709	568	103916	compressed_gzip	17559273	57737216	assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0011_idba	rumen__10676_0011_idba	rumen	rumen	Bacteria	10676_0011_idba	data/blue_catalyst_poc/rumen/raw/10676_0011_idba.fa.gz	10676_0011_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0011_idba.faa	rumen__10676_0011_idba.faa	ERZ1024261	webin-genome-10676_0011_idba_1kb	10676_0011_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612	fgx_113_rumen__10676_0011_idba_20260613_081351	complete	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/per_mag/rumen__10676_0011_idba/fgx_113_rumen__10676_0011_idba_20260613_081351	20810	3.46833	23171560	176	143603	compressed_gzip	7162879	23560192	assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0010_idba	rumen__10676_0010_idba	rumen	rumen	Bacteria	10676_0010_idba	data/blue_catalyst_poc/rumen/raw/10676_0010_idba.fa.gz	10676_0010_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0010_idba.faa	rumen__10676_0010_idba.faa	ERZ1024262	webin-genome-10676_0010_idba_1kb	10676_0010_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612	fgx_114_rumen__10676_0010_idba_20260613_095423	complete	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/per_mag/rumen__10676_0010_idba/fgx_114_rumen__10676_0010_idba_20260613_095423	53912	8.98533	62129908	787	86443	compressed_gzip	19251952	63176704	assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0012_idba	rumen__10676_0012_idba	rumen	rumen	Bacteria	10676_0012_idba	data/blue_catalyst_poc/rumen/raw/10676_0012_idba.fa.gz	10676_0012_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0012_idba.faa	rumen__10676_0012_idba.faa	ERZ1024263	webin-genome-10676_0012_idba_1kb	10676_0012_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612	fgx_115_rumen__10676_0012_idba_20260613_101446	complete	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/per_mag/rumen__10676_0012_idba/fgx_115_rumen__10676_0012_idba_20260613_101446	31498	5.24967	36835717	296	129932	compressed_gzip	11402824	37453824	assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0018_idba	rumen__10676_0018_idba	rumen	rumen	Bacteria	10676_0018_idba	data/blue_catalyst_poc/rumen/raw/10676_0018_idba.fa.gz	10676_0018_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0018_idba.faa	rumen__10676_0018_idba.faa	ERZ1024264	webin-genome-10676_0018_idba_1kb	10676_0018_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612	fgx_116_rumen__10676_0018_idba_20260613_103203	complete	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/per_mag/rumen__10676_0018_idba/fgx_116_rumen__10676_0018_idba_20260613_103203	210885	35.1475	230847312	9976	30611	compressed_gzip	71490152	234848256	assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
rumen__10676_0017_idba	rumen__10676_0017_idba	rumen	rumen	Bacteria	10676_0017_idba	data/blue_catalyst_poc/rumen/raw/10676_0017_idba.fa.gz	10676_0017_idba.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10676_0017_idba.faa	rumen__10676_0017_idba.faa	ERZ1024265	webin-genome-10676_0017_idba_1kb	10676_0017_idba.fa.gz	filename	matched	6000	True	True		fgx_662_apollo3_20260612	fgx_117_rumen__10676_0017_idba_20260613_110246	complete	/home/rsg-jcorre38/Jay_Proyects/MethaNet/results/functional_metagenomics/fgx_662_apollo3_20260612/per_mag/rumen__10676_0017_idba/fgx_117_rumen__10676_0017_idba_20260613_110246	198562	33.0937	215205899	10564	26125	compressed_gzip	66670056	218955776	assembly_context	false	true	assembly/metagenome context	blocked_noncomparable_assembly_context	rumen no-bin 10676 assembly-scale record; preserve separately and exclude from MAG-level MBAG	preserve_quarantine_exclude_from_mag_level_mbag
