proteome_id	sample	source	ecosystem	domain	mag_id	mag_fasta	mag_fasta_basename	proteome_faa	proteome_faa_basename	source_analysis_accession	analysis_alias	source_filename	match_key	match_status	n_proteins_used	embedded_final_662	functional_run_include	notes	cohort_run_id	latest_run_id	latest_run_status	latest_run_dir	functional_predicted_proteins	scope_ratio	input_total_bp	input_contigs	input_n50_bp	input_fasta_kind	input_fasta_compressed_bytes	input_fasta_uncompressed_bytes	analysis_unit_type	mbag_mag_level_include	assembly_context_include	claim_scope	comparability_status	comparability_reason	recommended_action
rumen__10674_0001_idba_bin.10	rumen__10674_0001_idba_bin.10	rumen	rumen	Bacteria	10674_0001_idba_bin.10	data/blue_catalyst_poc/rumen/raw/10674_0001_idba_bin.10.fa.gz	10674_0001_idba_bin.10.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10674_0001_idba_bin.10.faa	rumen__10674_0001_idba_bin.10.faa	ERZ1036795	webin-genome-10674_0001_idba_bin.10	10674_0001_idba_bin.10.fa.gz	filename	matched	1926	True	True		fgx_662_apollo3_20260612		not_started							compressed_gzip	640786		mag_bin	true	false	MAG functional potential	comparable_mag_bin	MAG/bin-like input; eligible for MAG-level functional atlas if QC and table gates pass	include_in_mag_bin_relaunch_or_retain_if_complete
rumen__10674_0001_idba_bin.100	rumen__10674_0001_idba_bin.100	rumen	rumen	Bacteria	10674_0001_idba_bin.100	data/blue_catalyst_poc/rumen/raw/10674_0001_idba_bin.100.fa.gz	10674_0001_idba_bin.100.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10674_0001_idba_bin.100.faa	rumen__10674_0001_idba_bin.100.faa	ERZ1037592	webin-genome-10674_0001_idba_bin.100	10674_0001_idba_bin.100.fa.gz	filename	matched	1971	True	True		fgx_662_apollo3_20260612		not_started							compressed_gzip	678451		mag_bin	true	false	MAG functional potential	comparable_mag_bin	MAG/bin-like input; eligible for MAG-level functional atlas if QC and table gates pass	include_in_mag_bin_relaunch_or_retain_if_complete
rumen__10674_0001_idba_bin.102	rumen__10674_0001_idba_bin.102	rumen	rumen	Bacteria	10674_0001_idba_bin.102	data/blue_catalyst_poc/rumen/raw/10674_0001_idba_bin.102.fa.gz	10674_0001_idba_bin.102.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10674_0001_idba_bin.102.faa	rumen__10674_0001_idba_bin.102.faa	ERZ1037593	webin-genome-10674_0001_idba_bin.102	10674_0001_idba_bin.102.fa.gz	filename	matched	926	True	True		fgx_662_apollo3_20260612		not_started							compressed_gzip	291390		mag_bin	true	false	MAG functional potential	comparable_mag_bin	MAG/bin-like input; eligible for MAG-level functional atlas if QC and table gates pass	include_in_mag_bin_relaunch_or_retain_if_complete
rumen__10674_0001_idba_bin.11	rumen__10674_0001_idba_bin.11	rumen	rumen	Bacteria	10674_0001_idba_bin.11	data/blue_catalyst_poc/rumen/raw/10674_0001_idba_bin.11.fa.gz	10674_0001_idba_bin.11.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10674_0001_idba_bin.11.faa	rumen__10674_0001_idba_bin.11.faa	ERZ1037594	webin-genome-10674_0001_idba_bin.11	10674_0001_idba_bin.11.fa.gz	filename	matched	1926	True	True		fgx_662_apollo3_20260612		not_started							compressed_gzip	612801		mag_bin	true	false	MAG functional potential	comparable_mag_bin	MAG/bin-like input; eligible for MAG-level functional atlas if QC and table gates pass	include_in_mag_bin_relaunch_or_retain_if_complete
rumen__10674_0001_idba_bin.20	rumen__10674_0001_idba_bin.20	rumen	rumen	Bacteria	10674_0001_idba_bin.20	data/blue_catalyst_poc/rumen/raw/10674_0001_idba_bin.20.fa.gz	10674_0001_idba_bin.20.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10674_0001_idba_bin.20.faa	rumen__10674_0001_idba_bin.20.faa	ERZ1037595	webin-genome-10674_0001_idba_bin.20	10674_0001_idba_bin.20.fa.gz	filename	matched	1564	True	True		fgx_662_apollo3_20260612		not_started							compressed_gzip	541448		mag_bin	true	false	MAG functional potential	comparable_mag_bin	MAG/bin-like input; eligible for MAG-level functional atlas if QC and table gates pass	include_in_mag_bin_relaunch_or_retain_if_complete
rumen__10674_0001_idba_bin.23	rumen__10674_0001_idba_bin.23	rumen	rumen	Archaea	10674_0001_idba_bin.23	data/blue_catalyst_poc/rumen/raw/10674_0001_idba_bin.23.fa.gz	10674_0001_idba_bin.23.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10674_0001_idba_bin.23.faa	rumen__10674_0001_idba_bin.23.faa	ERZ1037596	webin-genome-10674_0001_idba_bin.23	10674_0001_idba_bin.23.fa.gz	filename	matched	1609	True	True		fgx_662_apollo3_20260612		not_started							compressed_gzip	467117		mag_bin	true	false	MAG functional potential	comparable_mag_bin	MAG/bin-like input; eligible for MAG-level functional atlas if QC and table gates pass	include_in_mag_bin_relaunch_or_retain_if_complete
rumen__10674_0001_idba_bin.24	rumen__10674_0001_idba_bin.24	rumen	rumen	Bacteria	10674_0001_idba_bin.24	data/blue_catalyst_poc/rumen/raw/10674_0001_idba_bin.24.fa.gz	10674_0001_idba_bin.24.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10674_0001_idba_bin.24.faa	rumen__10674_0001_idba_bin.24.faa	ERZ1037597	webin-genome-10674_0001_idba_bin.24	10674_0001_idba_bin.24.fa.gz	filename	matched	1440	True	True		fgx_662_apollo3_20260612		not_started							compressed_gzip	445310		mag_bin	true	false	MAG functional potential	comparable_mag_bin	MAG/bin-like input; eligible for MAG-level functional atlas if QC and table gates pass	include_in_mag_bin_relaunch_or_retain_if_complete
rumen__10674_0001_idba_bin.26	rumen__10674_0001_idba_bin.26	rumen	rumen	Bacteria	10674_0001_idba_bin.26	data/blue_catalyst_poc/rumen/raw/10674_0001_idba_bin.26.fa.gz	10674_0001_idba_bin.26.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10674_0001_idba_bin.26.faa	rumen__10674_0001_idba_bin.26.faa	ERZ1037598	webin-genome-10674_0001_idba_bin.26	10674_0001_idba_bin.26.fa.gz	filename	matched	2064	True	True		fgx_662_apollo3_20260612		not_started							compressed_gzip	554265		mag_bin	true	false	MAG functional potential	comparable_mag_bin	MAG/bin-like input; eligible for MAG-level functional atlas if QC and table gates pass	include_in_mag_bin_relaunch_or_retain_if_complete
rumen__10674_0001_idba_bin.37	rumen__10674_0001_idba_bin.37	rumen	rumen	Bacteria	10674_0001_idba_bin.37	data/blue_catalyst_poc/rumen/raw/10674_0001_idba_bin.37.fa.gz	10674_0001_idba_bin.37.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10674_0001_idba_bin.37.faa	rumen__10674_0001_idba_bin.37.faa	ERZ1037599	webin-genome-10674_0001_idba_bin.37	10674_0001_idba_bin.37.fa.gz	filename	matched	2148	True	True		fgx_662_apollo3_20260612		not_started							compressed_gzip	746445		mag_bin	true	false	MAG functional potential	comparable_mag_bin	MAG/bin-like input; eligible for MAG-level functional atlas if QC and table gates pass	include_in_mag_bin_relaunch_or_retain_if_complete
rumen__10674_0001_idba_bin.4	rumen__10674_0001_idba_bin.4	rumen	rumen	Bacteria	10674_0001_idba_bin.4	data/blue_catalyst_poc/rumen/raw/10674_0001_idba_bin.4.fa.gz	10674_0001_idba_bin.4.fa.gz	data/blue_catalyst_poc/proteomes/rumen__10674_0001_idba_bin.4.faa	rumen__10674_0001_idba_bin.4.faa	ERZ1037600	webin-genome-10674_0001_idba_bin.4	10674_0001_idba_bin.4.fa.gz	filename	matched	2835	True	True		fgx_662_apollo3_20260612		not_started							compressed_gzip	928598		mag_bin	true	false	MAG functional potential	comparable_mag_bin	MAG/bin-like input; eligible for MAG-level functional atlas if QC and table gates pass	include_in_mag_bin_relaunch_or_retain_if_complete
