proteome_id	sample	source	ecosystem	domain	mag_id_candidate	assembly_id_candidate	bin_id_candidate	mucc_img_like_id	source_analysis_accession	analysis_alias	filename	proteome_faa_basename	proteome_faa_stem	proteome_faa	n_proteins_used	checkpoint_batch	checkpoint_order	embedded_final_662	excluded_reason	download_url	download_fallback_urls
mucc__2162886008_15	mucc__2162886008_15	mucc	wetland	Unknown	2162886008_15	2162886008_15		2162886008_15				mucc__2162886008_15.faa	mucc__2162886008_15	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__2162886008_15.faa	1792.0	1.0	0.0	True			
mucc__3300001784_29	mucc__3300001784_29	mucc	wetland	Unknown	3300001784_29	3300001784_29		3300001784_29				mucc__3300001784_29.faa	mucc__3300001784_29	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300001784_29.faa	2513.0	1.0	1.0	True			
mucc__3300004775_9	mucc__3300004775_9	mucc	wetland	Unknown	3300004775_9	3300004775_9		3300004775_9				mucc__3300004775_9.faa	mucc__3300004775_9	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300004775_9.faa	1771.0	1.0	2.0	True			
mucc__3300005325_23	mucc__3300005325_23	mucc	wetland	Unknown	3300005325_23	3300005325_23		3300005325_23				mucc__3300005325_23.faa	mucc__3300005325_23	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300005325_23.faa	2347.0	1.0	3.0	True			
mucc__3300005326_54	mucc__3300005326_54	mucc	wetland	Unknown	3300005326_54	3300005326_54		3300005326_54				mucc__3300005326_54.faa	mucc__3300005326_54	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300005326_54.faa	1670.0	1.0	4.0	True			
mucc__3300009053_19	mucc__3300009053_19	mucc	wetland	Unknown	3300009053_19	3300009053_19		3300009053_19				mucc__3300009053_19.faa	mucc__3300009053_19	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300009053_19.faa	1888.0	1.0	5.0	True			
mucc__3300009081_10	mucc__3300009081_10	mucc	wetland	Unknown	3300009081_10	3300009081_10		3300009081_10				mucc__3300009081_10.faa	mucc__3300009081_10	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300009081_10.faa	2305.0	1.0	6.0	True			
mucc__3300009153_19	mucc__3300009153_19	mucc	wetland	Unknown	3300009153_19	3300009153_19		3300009153_19				mucc__3300009153_19.faa	mucc__3300009153_19	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300009153_19.faa	1526.0	1.0	7.0	True			
mucc__3300010293_30	mucc__3300010293_30	mucc	wetland	Unknown	3300010293_30	3300010293_30		3300010293_30				mucc__3300010293_30.faa	mucc__3300010293_30	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300010293_30.faa	1566.0	1.0	8.0	True			
mucc__3300013126_82	mucc__3300013126_82	mucc	wetland	Unknown	3300013126_82	3300013126_82		3300013126_82				mucc__3300013126_82.faa	mucc__3300013126_82	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300013126_82.faa	1967.0	1.0	9.0	True			
mucc__3300013126_97	mucc__3300013126_97	mucc	wetland	Unknown	3300013126_97	3300013126_97		3300013126_97				mucc__3300013126_97.faa	mucc__3300013126_97	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300013126_97.faa	1641.0	1.0	10.0	True			
mucc__3300014199_19	mucc__3300014199_19	mucc	wetland	Unknown	3300014199_19	3300014199_19		3300014199_19				mucc__3300014199_19.faa	mucc__3300014199_19	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300014199_19.faa	1393.0	1.0	11.0	True			
mucc__3300014205_53	mucc__3300014205_53	mucc	wetland	Unknown	3300014205_53	3300014205_53		3300014205_53				mucc__3300014205_53.faa	mucc__3300014205_53	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300014205_53.faa	1924.0	1.0	12.0	True			
mucc__3300016725_15	mucc__3300016725_15	mucc	wetland	Unknown	3300016725_15	3300016725_15		3300016725_15				mucc__3300016725_15.faa	mucc__3300016725_15	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300016725_15.faa	3164.0	1.0	13.0	True			
mucc__3300017643_20	mucc__3300017643_20	mucc	wetland	Unknown	3300017643_20	3300017643_20		3300017643_20				mucc__3300017643_20.faa	mucc__3300017643_20	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300017643_20.faa	2711.0	1.0	14.0	True			
mucc__3300017947_8	mucc__3300017947_8	mucc	wetland	Unknown	3300017947_8	3300017947_8		3300017947_8				mucc__3300017947_8.faa	mucc__3300017947_8	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300017947_8.faa	1984.0	1.0	15.0	True			
mucc__3300017959_16	mucc__3300017959_16	mucc	wetland	Unknown	3300017959_16	3300017959_16		3300017959_16				mucc__3300017959_16.faa	mucc__3300017959_16	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300017959_16.faa	1279.0	1.0	16.0	True			
mucc__3300017975_11	mucc__3300017975_11	mucc	wetland	Unknown	3300017975_11	3300017975_11		3300017975_11				mucc__3300017975_11.faa	mucc__3300017975_11	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300017975_11.faa	1868.0	1.0	17.0	True			
mucc__3300018012_6	mucc__3300018012_6	mucc	wetland	Unknown	3300018012_6	3300018012_6		3300018012_6				mucc__3300018012_6.faa	mucc__3300018012_6	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300018012_6.faa	3404.0	1.0	18.0	True			
mucc__3300018019_17	mucc__3300018019_17	mucc	wetland	Unknown	3300018019_17	3300018019_17		3300018019_17				mucc__3300018019_17.faa	mucc__3300018019_17	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300018019_17.faa	2297.0	1.0	19.0	True			
mucc__3300021071_20	mucc__3300021071_20	mucc	wetland	Unknown	3300021071_20	3300021071_20		3300021071_20				mucc__3300021071_20.faa	mucc__3300021071_20	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300021071_20.faa	1527.0	1.0	20.0	True			
mucc__3300025858_29	mucc__3300025858_29	mucc	wetland	Unknown	3300025858_29	3300025858_29		3300025858_29				mucc__3300025858_29.faa	mucc__3300025858_29	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300025858_29.faa	2335.0	1.0	21.0	True			
mucc__3300025963_1	mucc__3300025963_1	mucc	wetland	Unknown	3300025963_1	3300025963_1		3300025963_1				mucc__3300025963_1.faa	mucc__3300025963_1	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300025963_1.faa	1396.0	1.0	22.0	True			
mucc__3300025975_1	mucc__3300025975_1	mucc	wetland	Unknown	3300025975_1	3300025975_1		3300025975_1				mucc__3300025975_1.faa	mucc__3300025975_1	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300025975_1.faa	1725.0	1.0	23.0	True			
mucc__3300026026_4	mucc__3300026026_4	mucc	wetland	Unknown	3300026026_4	3300026026_4		3300026026_4				mucc__3300026026_4.faa	mucc__3300026026_4	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300026026_4.faa	1571.0	1.0	24.0	True			
mucc__3300027825_24	mucc__3300027825_24	mucc	wetland	Unknown	3300027825_24	3300027825_24		3300027825_24				mucc__3300027825_24.faa	mucc__3300027825_24	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300027825_24.faa	1950.0	2.0	0.0	True			
mucc__3300027972_11	mucc__3300027972_11	mucc	wetland	Unknown	3300027972_11	3300027972_11		3300027972_11				mucc__3300027972_11.faa	mucc__3300027972_11	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300027972_11.faa	2074.0	2.0	1.0	True			
mucc__3300027979_35	mucc__3300027979_35	mucc	wetland	Unknown	3300027979_35	3300027979_35		3300027979_35				mucc__3300027979_35.faa	mucc__3300027979_35	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300027979_35.faa	1601.0	2.0	2.0	True			
mucc__3300028669_5	mucc__3300028669_5	mucc	wetland	Unknown	3300028669_5	3300028669_5		3300028669_5				mucc__3300028669_5.faa	mucc__3300028669_5	/home/rsg-jcorre38/Jay_Proyects/MethaNet/data/blue_catalyst_poc/proteomes/mucc__3300028669_5.faa	3264.0	2.0	3.0	True			
