proteome_id	sample	source	ecosystem	domain	mag_id	mag_fasta	mag_fasta_basename	proteome_faa	proteome_faa_basename	source_analysis_accession	analysis_alias	source_filename	match_key	match_status	n_proteins_used	embedded_final_662	functional_run_include	notes
mucc__2162886008_15	mucc__2162886008_15	mucc	wetland	Unknown	2162886008_15	data/assemblies/2162886008_15.fasta	2162886008_15.fasta	data/blue_catalyst_poc/proteomes/mucc__2162886008_15.faa	mucc__2162886008_15.faa				mag_id_candidate	matched	1792	True	True	
mucc__3300001784_29	mucc__3300001784_29	mucc	wetland	Unknown	3300001784_29	data/assemblies/3300001784_29.fasta	3300001784_29.fasta	data/blue_catalyst_poc/proteomes/mucc__3300001784_29.faa	mucc__3300001784_29.faa				mag_id_candidate	matched	2513	True	True	
mucc__3300004775_9	mucc__3300004775_9	mucc	wetland	Unknown	3300004775_9	data/assemblies/3300004775_9.fasta	3300004775_9.fasta	data/blue_catalyst_poc/proteomes/mucc__3300004775_9.faa	mucc__3300004775_9.faa				mag_id_candidate	matched	1771	True	True	
mucc__3300005325_23	mucc__3300005325_23	mucc	wetland	Unknown	3300005325_23	data/assemblies/3300005325_23.fasta	3300005325_23.fasta	data/blue_catalyst_poc/proteomes/mucc__3300005325_23.faa	mucc__3300005325_23.faa				mag_id_candidate	matched	2347	True	True	
mucc__3300005326_54	mucc__3300005326_54	mucc	wetland	Unknown	3300005326_54	data/assemblies/3300005326_54.fasta	3300005326_54.fasta	data/blue_catalyst_poc/proteomes/mucc__3300005326_54.faa	mucc__3300005326_54.faa				mag_id_candidate	matched	1670	True	True	
mucc__3300009053_19	mucc__3300009053_19	mucc	wetland	Unknown	3300009053_19	data/assemblies/3300009053_19.fasta	3300009053_19.fasta	data/blue_catalyst_poc/proteomes/mucc__3300009053_19.faa	mucc__3300009053_19.faa				mag_id_candidate	matched	1888	True	True	
mucc__3300009081_10	mucc__3300009081_10	mucc	wetland	Unknown	3300009081_10	data/assemblies/3300009081_10.fasta	3300009081_10.fasta	data/blue_catalyst_poc/proteomes/mucc__3300009081_10.faa	mucc__3300009081_10.faa				mag_id_candidate	matched	2305	True	True	
mucc__3300009153_19	mucc__3300009153_19	mucc	wetland	Unknown	3300009153_19	data/assemblies/3300009153_19.fasta	3300009153_19.fasta	data/blue_catalyst_poc/proteomes/mucc__3300009153_19.faa	mucc__3300009153_19.faa				mag_id_candidate	matched	1526	True	True	
mucc__3300010293_30	mucc__3300010293_30	mucc	wetland	Unknown	3300010293_30	data/assemblies/3300010293_30.fasta	3300010293_30.fasta	data/blue_catalyst_poc/proteomes/mucc__3300010293_30.faa	mucc__3300010293_30.faa				mag_id_candidate	matched	1566	True	True	
mucc__3300013126_82	mucc__3300013126_82	mucc	wetland	Unknown	3300013126_82	data/assemblies/3300013126_82.fasta	3300013126_82.fasta	data/blue_catalyst_poc/proteomes/mucc__3300013126_82.faa	mucc__3300013126_82.faa				mag_id_candidate	matched	1967	True	True	
mucc__3300013126_97	mucc__3300013126_97	mucc	wetland	Unknown	3300013126_97	data/assemblies/3300013126_97.fasta	3300013126_97.fasta	data/blue_catalyst_poc/proteomes/mucc__3300013126_97.faa	mucc__3300013126_97.faa				mag_id_candidate	matched	1641	True	True	
mucc__3300014199_19	mucc__3300014199_19	mucc	wetland	Unknown	3300014199_19	data/assemblies/3300014199_19.fasta	3300014199_19.fasta	data/blue_catalyst_poc/proteomes/mucc__3300014199_19.faa	mucc__3300014199_19.faa				mag_id_candidate	matched	1393	True	True	
mucc__3300014205_53	mucc__3300014205_53	mucc	wetland	Unknown	3300014205_53	data/assemblies/3300014205_53.fasta	3300014205_53.fasta	data/blue_catalyst_poc/proteomes/mucc__3300014205_53.faa	mucc__3300014205_53.faa				mag_id_candidate	matched	1924	True	True	
mucc__3300016725_15	mucc__3300016725_15	mucc	wetland	Unknown	3300016725_15	data/assemblies/3300016725_15.fasta	3300016725_15.fasta	data/blue_catalyst_poc/proteomes/mucc__3300016725_15.faa	mucc__3300016725_15.faa				mag_id_candidate	matched	3164	True	True	
mucc__3300017643_20	mucc__3300017643_20	mucc	wetland	Unknown	3300017643_20	data/assemblies/3300017643_20.fasta	3300017643_20.fasta	data/blue_catalyst_poc/proteomes/mucc__3300017643_20.faa	mucc__3300017643_20.faa				mag_id_candidate	matched	2711	True	True	
mucc__3300017947_8	mucc__3300017947_8	mucc	wetland	Unknown	3300017947_8	data/assemblies/3300017947_8.fasta	3300017947_8.fasta	data/blue_catalyst_poc/proteomes/mucc__3300017947_8.faa	mucc__3300017947_8.faa				mag_id_candidate	matched	1984	True	True	
mucc__3300017959_16	mucc__3300017959_16	mucc	wetland	Unknown	3300017959_16	data/assemblies/3300017959_16.fasta	3300017959_16.fasta	data/blue_catalyst_poc/proteomes/mucc__3300017959_16.faa	mucc__3300017959_16.faa				mag_id_candidate	matched	1279	True	True	
mucc__3300017975_11	mucc__3300017975_11	mucc	wetland	Unknown	3300017975_11	data/assemblies/3300017975_11.fasta	3300017975_11.fasta	data/blue_catalyst_poc/proteomes/mucc__3300017975_11.faa	mucc__3300017975_11.faa				mag_id_candidate	matched	1868	True	True	
mucc__3300018012_6	mucc__3300018012_6	mucc	wetland	Unknown	3300018012_6	data/assemblies/3300018012_6.fasta	3300018012_6.fasta	data/blue_catalyst_poc/proteomes/mucc__3300018012_6.faa	mucc__3300018012_6.faa				mag_id_candidate	matched	3404	True	True	
mucc__3300018019_17	mucc__3300018019_17	mucc	wetland	Unknown	3300018019_17	data/assemblies/3300018019_17.fasta	3300018019_17.fasta	data/blue_catalyst_poc/proteomes/mucc__3300018019_17.faa	mucc__3300018019_17.faa				mag_id_candidate	matched	2297	True	True	
